ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석,등장인물
1,[안드로이드 수리점 '레파이아'],재개업 1일차,,,,,엔지니어(주인공)
2,엔지니어,흠...,,,,조세핀0평소1왼쪽2한심3놀람4비웃음,조세핀(조수)
3,엔지니어,가게 내부도 정상이고^ 딱히 누가 찾아온 흔적도 없고...,,,,,브루스(소방로봇)
4,엔지니어,휴가 기간동안 조용했나 보네.,,,,여기까지는화면에아무도없음,
5,조세핀,수리점에 아무도 없었으니 조용한 게 당연합니다.,0,1,0,조세핀중앙에나타남,
6,조세핀,정문 앞에 '바다에 놀러가느라 일주일 정도 쉽니다'라고 써붙이지 않으셨습니까.,0,,,,
7,엔지니어,에흠...,,,,이벤트,
8,엔지니어,아무튼 가게는 아무 일 없이 잘 있었으니 좋은 일이지.,,,,1,캐릭터 추가(id)
9,조세핀,지금 가게의 재정을 생각해보면 일주일이나 쉰 것은 크나큰 손실입니다.,1,,,2,캐릭터를 수리대상으로 지정
10,엔지니어,적절한 휴식은 더 좋은 효율을 내는 데 중요하다고.,,,,3,캐릭터 삭제(id)
11,엔지니어,이번에 바다를 가야지 남은 기간동안 열심히 일할 동력을 얻는단 말이야.,,,,,
12,조세핀,만약 제가 그런 식으로 동력을 얻는다면 비효율적이라고 시장에서 퇴출될 겁니다.,2,,,캐릭터 id,
13,엔지니어,아무튼 건강하게 돌아왔으니 된 거지.,,,,0,조세핀
14,조세핀,사장님은 건강하겠지만 저는 아닙니다.,2,,,1,브루스
15,조세핀,기체 내부에 모래가 들어가질 않나^,1,,,,
16,조세핀,좌측 허벅지 부품에 덴트도 생겼잖습니까.,1,,,,
17,엔지니어,그건...,,,,,
18,엔지니어,내가 미안하네.,,,,,
19,조세핀,미안해 할 건 없습니다. 재밌게 노셨다면 그걸로 된 거죠.,0,,,,
20,조세핀,제대로 정비만 해주시면 업무에 지장은 없을 겁니다.,0,,,,
21,엔지니어,알겠어.,,,,,
22,엔지니어,그럼 이제 가게 문을 열어볼까?,,,,,
23,조세핀,그 전에...,0,,,,
24,조세핀,업무에 적응하도록 매뉴얼 트레이닝을 실행하겠습니다.,0,,,,
25,엔지니어,트레이닝? 진짜?,,,,,
26,엔지니어,이게 나에게 필요하다고 생각해?,,,,,
27,조세핀,모든 엔지니어는 7일 이상 업무장을 비웠을 때^ 트레이닝을 이행해야 한다는 걸 잊으셨습니까?,0,,,,
28,조세핀,반복 학습은 뛰어난 엔지니어가 되기 위한 좋은 방법입니다.,,,,,
29,엔지니어,그걸 외울 정도가 되서 말이지. 얼마나 들었으면 내가 가끔 잠꼬대로 그걸 외우기까지 하는 걸.,,,,,
30,조세핀,저도 빠르게 정비를 받고 업무를 시작하는 것이 훨씬 효율적이니...,1,,,,
31,조세핀,그럼 이 수리점에 맞게 적절히 단축된 버전으로 진행하도록 하겠습니다.,0,,,,
32,엔지니어,총알보다 빠르게 부탁해.,,,,,
33,조세핀,안드로이드들은 자신의 기체에 작동 이상^ 파손^ 오류가 생겼을 경우 공식 인증을 받은 수리점에서 수리를 받아야 합니다.,0,,,,
34,조세핀,이렇게 찾아온 안드로이드 손님들은 자신의 증상에 대해 이야기할겁니다.,0,,,,
35,조세핀,누구는 어디가 안 움직인다^ 누구는 어디가 안 보인다 등 말이죠.,1,,,,
36,조세핀,사장님은 이 손님들의 이야기를 듣고 어디가 문제인지 파악한 후^ 정비소에서 조치를 취해주시면 됩니다.,1,,,,
37,조세핀,정비소에서는 손님이 가지고 있는 증상을 더 잘 알기 위해 '정밀 스캔'을 할 수도 있습니다.,0,,,,
38,조세핀,손님의 이야기에서 증상을 알아내기 힘들다면^ '정밀 스캔'을 하는 걸 추천드리지만...,0,,,,
39,조세핀,정밀 스캔은 기능 자체가 복잡한 과정을 거치고^ 상당히 많은 전력을 소비하기 때문에^,1,,,,
40,조세핀,전기세를 생각한다면 최대한 사장님의 감과 능력으로 증상을 알아내어 처치를 해야겠죠.,1,,,,
41,엔지니어,조세핀^ 이제 슬슬 그만 하고 가게 문 열면 안될까?,,,,,
42,조세핀,트레이닝 중에는 말하지 마세요^ 지금 중요한 부분을 설명해야 하니까요.,2,,,,
43,조세핀,만약 손님이 얘기해주었던 증상의 내용이 기억나지 않는다면^,0,,,,
44,조세핀,카운터 내에 의무적으로 설치되어 있는 콘솔을 통해 지금까지의 녹음된 대화 로그를 확인할 수 있습니다.,0,,,,
45,엔지니어,난 이 부분이 개인정보 침해면에서 문제가 많다고 생각해.,,,,,
46,조세핀,자^ 그럼 지금까지 들은 내용을 직접 테스트해봅시다.,0,,,,
47,엔지니어,지금?,,,,,
48,엔지니어,아직 정비를 할 손님도 없는데?,,,,,
49,조세핀,사장님 앞에 있는 안드로이드는 뭐죠?,2,,,,
50,엔지니어,아.,,,,,
51,조세핀,그럼 제 증상을 말씀드리겠습니다.,0,,,,
52,조세핀,해변가에서 사장님의 파라솔을 옮기다가 기체 내부에 모래가 들어갔고...,0,,,수리힌트1-내부청소,
53,엔지니어,...,,,,,
54,조세핀,그리고 그렇게 위험하다고 했는데도 간곡히 부탁하셔서...,1,,,,
55,조세핀,이끼 낀 바위 위에서 포즈를 잡다가 그대로 미끄러져서 좌측 다리가 파였습니다.,2,,,수리힌트2-외관수리,
56,엔지니어,...,,,,,
57,조세핀,...,0,,,,
58,엔지니어,빠르게 고쳐줄게...,,,,,
59,조세핀,부탁드리겠습니다.,1,,,,
60,안내,정비소 탭을 눌러 이동해주세요.,,2,0,,
